Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/cities,401,0,6,9.491107975062148,3.368250000001183,84.54470799999925,957.0,6.684256004035744,0.0,6,9,10,12,18,24,38,47,85,85,85
GET,/city/Atlanta,29,0,6,8.961656655171561,3.591042000003597,55.84720899999951,61.0,0.48340006014223585,0.0,6,8,10,11,18,21,56,56,56,56,56
GET,/city/Boston,34,0,6,11.101533058823044,3.5285419999979695,71.33595900000245,60.0,0.5667448980977937,0.0,7,9,10,11,23,46,71,71,71,71,71
GET,/city/Buffalo,32,0,6,11.248308718749156,3.755958999995812,79.5823750000011,62.0,0.5334069629155705,0.0,7,10,11,11,17,47,80,80,80,80,80
GET,/city/Chicago,33,0,5,7.429915363637139,3.5613340000111293,29.262415999998126,62.0,0.5500759305066821,0.0,5,6,8,10,15,15,29,29,29,29,29
GET,/city/Denver,24,0,6,8.76124633333338,3.8137080000026913,43.911915999998996,60.0,0.40005522218667794,0.0,6,7,8,8,17,29,44,44,44,44,44
GET,/city/Houston,24,0,6,9.452841958332995,3.421875000000796,57.06362499999784,62.0,0.40005522218667794,0.0,6,6,10,12,20,21,57,57,57,57,57
GET,/city/Kansas%20City,29,0,6,10.31357903448217,3.7491660000057436,47.63983399999816,66.0,0.48340006014223585,0.0,6,7,9,18,28,30,48,48,48,48,48
GET,/city/Los%20Angeles,38,0,6,10.526180815789582,3.554333000003851,77.34016700000268,66.0,0.63342076846224,0.0,6,9,11,12,24,30,77,77,77,77,77
GET,/city/Miami,18,0,8,11.88819216666776,3.9601249999918764,70.46237499999819,59.0,0.30004141664000844,0.0,9,9,12,12,17,70,70,70,70,70,70
GET,/city/Nashville,24,0,5,13.55838191666677,3.7678750000011973,84.77691599999915,64.0,0.40005522218667794,0.0,7,9,13,16,24,69,85,85,85,85,85
GET,/city/New%20York,20,0,6,7.777574950000954,3.547584000003212,24.43529100000319,63.0,0.3333793518222316,0.0,6,9,10,12,14,24,24,24,24,24,24
GET,/city/Phoenix,25,0,5,9.261861799999735,3.6118330000078913,61.56891699999889,63.0,0.4167241897777895,0.0,5,7,8,11,15,19,62,62,62,62,62
GET,/city/Portland,25,0,6,10.554558200001479,3.580917000007844,65.53754200000128,63.0,0.4167241897777895,0.0,6,10,11,12,22,25,66,66,66,66,66
GET,/city/Salt%20Lake%20City,33,0,6,9.240645212121605,3.501249999999345,48.143041999999525,69.0,0.5500759305066821,0.0,6,8,10,12,15,32,48,48,48,48,48
GET,/city/Seattle,16,0,6,7.192078125000334,3.7903750000012337,13.508958000002735,61.0,0.2667034814577853,0.0,8,9,11,11,11,14,14,14,14,14,14
GET,/city/info/Atlanta,25,0,6,8.07563823999942,3.8239170000053946,18.874291999992465,117.0,0.4167241897777895,0.0,6,9,10,11,14,16,19,19,19,19,19
GET,/city/info/Boston,32,0,7,10.484177124999382,3.826459000002558,66.80129200000096,116.0,0.5334069629155705,0.0,8,11,12,14,19,22,67,67,67,67,67
GET,/city/info/Buffalo,33,0,6,9.06438881818172,3.677540999994733,49.222542000002534,117.0,0.5500759305066821,0.0,6,8,9,12,19,24,49,49,49,49,49
