Method,Name,Error,Occurrences
GET,/city/info/Seattle,RemoteDisconnected('Remote end closed connection without response'),72
GET,/city/info/Atlanta,RemoteDisconnected('Remote end closed connection without response'),65
GET,/city/New%20York,RemoteDisconnected('Remote end closed connection without response'),62
GET,/city/Denver,RemoteDisconnected('Remote end closed connection without response'),52
GET,/city/info/Kansas%20City,RemoteDisconnected('Remote end closed connection without response'),63
GET,/city/info/Houston,RemoteDisconnected('Remote end closed connection without response'),52
GET,/city/Nashville,RemoteDisconnected('Remote end closed connection without response'),70
GET,/city/info/Chicago,RemoteDisconnected('Remote end closed connection without response'),68
GET,/city/info/Portland,RemoteDisconnected('Remote end closed connection without response'),63
GET,/city/info/Los%20Angeles,RemoteDisconnected('Remote end closed connection without response'),54
GET,/city/Los%20Angeles,RemoteDisconnected('Remote end closed connection without response'),56
GET,/routes/shortest?fromName=Chicago&toName=Seattle,RemoteDisconnected('Remote end closed connection without response'),124
GET,/cities,RemoteDisconnected('Remote end closed connection without response'),897
GET,/city/Seattle,RemoteDisconnected('Remote end closed connection without response'),58
GET,/city/info/Boston,RemoteDisconnected('Remote end closed connection without response'),66
GET,/city/Buffalo,RemoteDisconnected('Remote end closed connection without response'),58
GET,/city/info/Phoenix,RemoteDisconnected('Remote end closed connection without response'),55
GET,/routes/most-used,RemoteDisconnected('Remote end closed connection without response'),428
GET,/routes/random-points?count=3,RemoteDisconnected('Remote end closed connection without response'),170
GET,/routes/random-points?count=5,RemoteDisconnected('Remote end closed connection without response'),163
GET,/routes/random-points?count=1,RemoteDisconnected('Remote end closed connection without response'),190
GET,/routes/shortest?fromName=New%20York&toName=Los%20Angeles,RemoteDisconnected('Remote end closed connection without response'),121
GET,/city/info/Denver,RemoteDisconnected('Remote end closed connection without response'),60
GET,/routes/shortest?fromName=Atlanta&toName=Kansas%20City,RemoteDisconnected('Remote end closed connection without response'),129
GET,/city/info/New%20York,RemoteDisconnected('Remote end closed connection without response'),50
GET,/routes/shortest?fromName=Boston&toName=Miami,RemoteDisconnected('Remote end closed connection without response'),119
GET,/health,RemoteDisconnected('Remote end closed connection without response'),926
GET,/city/Houston,RemoteDisconnected('Remote end closed connection without response'),63
GET,/city/Phoenix,RemoteDisconnected('Remote end closed connection without response'),53
GET,/routes/shortest?fromName=Phoenix&toName=Houston,RemoteDisconnected('Remote end closed connection without response'),124
GET,/routes/most-used?date=2025-11-01,RemoteDisconnected('Remote end closed connection without response'),435
POST,/routes/heatmap,RemoteDisconnected('Remote end closed connection without response'),849
GET,/city/Salt%20Lake%20City,RemoteDisconnected('Remote end closed connection without response'),56
GET,/city/info/Miami,RemoteDisconnected('Remote end closed connection without response'),57
GET,/city/Chicago,RemoteDisconnected('Remote end closed connection without response'),56
GET,/routes/random-points?count=4,RemoteDisconnected('Remote end closed connection without response'),203
GET,/city/Kansas%20City,RemoteDisconnected('Remote end closed connection without response'),59
GET,/city/Atlanta,RemoteDisconnected('Remote end closed connection without response'),42
GET,/city/Portland,RemoteDisconnected('Remote end closed connection without response'),59
GET,/city/info/Nashville,RemoteDisconnected('Remote end closed connection without response'),58
GET,/city/Miami,RemoteDisconnected('Remote end closed connection without response'),71
GET,/city/Boston,RemoteDisconnected('Remote end closed connection without response'),43
GET,/routes/random-points?count=2,RemoteDisconnected('Remote end closed connection without response'),166
GET,/city/info/Salt%20Lake%20City,RemoteDisconnected('Remote end closed connection without response'),60
GET,/city/info/Buffalo,RemoteDisconnected('Remote end closed connection without response'),52
GET,/routes/shortest?fromName=Denver&toName=Phoenix,RemoteDisconnected('Remote end closed connection without response'),126
GET,/routes/shortest?fromName=Houston&toName=Nashville,RemoteDisconnected('Remote end closed connection without response'),121
