Method,Name,Error,Occurrences
GET,/city/info/Seattle,RemoteDisconnected('Remote end closed connection without response'),75
GET,/city/info/Atlanta,RemoteDisconnected('Remote end closed connection without response'),85
GET,/city/New%20York,RemoteDisconnected('Remote end closed connection without response'),75
GET,/city/Denver,RemoteDisconnected('Remote end closed connection without response'),63
GET,/city/info/Kansas%20City,RemoteDisconnected('Remote end closed connection without response'),83
GET,/city/info/Houston,RemoteDisconnected('Remote end closed connection without response'),81
GET,/city/Nashville,RemoteDisconnected('Remote end closed connection without response'),85
GET,/city/info/Chicago,RemoteDisconnected('Remote end closed connection without response'),68
GET,/city/info/Portland,RemoteDisconnected('Remote end closed connection without response'),70
GET,/city/info/Los%20Angeles,RemoteDisconnected('Remote end closed connection without response'),75
GET,/city/Los%20Angeles,RemoteDisconnected('Remote end closed connection without response'),82
GET,/routes/shortest?fromName=Chicago&toName=Seattle,RemoteDisconnected('Remote end closed connection without response'),170
GET,/cities,RemoteDisconnected('Remote end closed connection without response'),1098
GET,/city/Seattle,RemoteDisconnected('Remote end closed connection without response'),86
GET,/city/info/Boston,RemoteDisconnected('Remote end closed connection without response'),72
GET,/city/Buffalo,RemoteDisconnected('Remote end closed connection without response'),69
GET,/city/info/Phoenix,RemoteDisconnected('Remote end closed connection without response'),73
GET,/routes/most-used,RemoteDisconnected('Remote end closed connection without response'),531
GET,/routes/random-points?count=3,RemoteDisconnected('Remote end closed connection without response'),225
GET,/routes/random-points?count=5,RemoteDisconnected('Remote end closed connection without response'),215
GET,/routes/random-points?count=1,RemoteDisconnected('Remote end closed connection without response'),206
GET,/routes/shortest?fromName=New%20York&toName=Los%20Angeles,RemoteDisconnected('Remote end closed connection without response'),149
GET,/city/info/Denver,RemoteDisconnected('Remote end closed connection without response'),80
GET,/routes/shortest?fromName=Atlanta&toName=Kansas%20City,RemoteDisconnected('Remote end closed connection without response'),174
GET,/city/info/New%20York,RemoteDisconnected('Remote end closed connection without response'),77
GET,/routes/shortest?fromName=Boston&toName=Miami,RemoteDisconnected('Remote end closed connection without response'),166
GET,/city/Houston,RemoteDisconnected('Remote end closed connection without response'),62
GET,/city/Phoenix,RemoteDisconnected('Remote end closed connection without response'),65
GET,/routes/shortest?fromName=Phoenix&toName=Houston,RemoteDisconnected('Remote end closed connection without response'),176
GET,/routes/most-used?date=2025-11-01,RemoteDisconnected('Remote end closed connection without response'),581
POST,/routes/heatmap,RemoteDisconnected('Remote end closed connection without response'),1128
GET,/city/Salt%20Lake%20City,RemoteDisconnected('Remote end closed connection without response'),72
GET,/city/info/Miami,RemoteDisconnected('Remote end closed connection without response'),72
GET,/city/Chicago,RemoteDisconnected('Remote end closed connection without response'),73
GET,/routes/random-points?count=4,RemoteDisconnected('Remote end closed connection without response'),221
GET,/city/Kansas%20City,RemoteDisconnected('Remote end closed connection without response'),80
GET,/city/Atlanta,RemoteDisconnected('Remote end closed connection without response'),67
GET,/city/Portland,RemoteDisconnected('Remote end closed connection without response'),69
GET,/city/info/Nashville,RemoteDisconnected('Remote end closed connection without response'),79
GET,/city/Miami,RemoteDisconnected('Remote end closed connection without response'),101
GET,/city/Boston,RemoteDisconnected('Remote end closed connection without response'),80
GET,/routes/random-points?count=2,RemoteDisconnected('Remote end closed connection without response'),214
GET,/city/info/Salt%20Lake%20City,RemoteDisconnected('Remote end closed connection without response'),73
GET,/city/info/Buffalo,RemoteDisconnected('Remote end closed connection without response'),63
GET,/routes/shortest?fromName=Denver&toName=Phoenix,RemoteDisconnected('Remote end closed connection without response'),157
GET,/routes/shortest?fromName=Houston&toName=Nashville,RemoteDisconnected('Remote end closed connection without response'),152
