request_type,name,response_time_ms,response_length
GET,/health,64.17170799999994,43
GET,/health,64.69308400000173,43
GET,/health,81.21050000000096,43
GET,/city/Salt%20Lake%20City,125.09116699999723,69
GET,/cities,126.95875000000001,957
GET,/routes/shortest?fromName=New%20York&toName=Los%20Angeles,124.14516699999822,134
GET,/routes/most-used,126.1813750000016,2821
GET,/routes/shortest?fromName=Atlanta&toName=Kansas%20City,109.84291699999815,102
POST,/routes/heatmap,145.144375000001,434
GET,/routes/most-used,146.51366700000068,2821
GET,/city/Atlanta,145.82162499999995,61
GET,/routes/most-used?date=2025-11-01,145.17670800000104,2821
GET,/routes/random-points?count=2,147.8987079999996,15
GET,/health,139.7146669999998,43
GET,/routes/most-used?date=2025-11-01,182.54541599999996,2821
GET,/city/Los%20Angeles,212.22658299999964,66
GET,/city/Atlanta,210.54595900000095,61
GET,/city/Houston,195.98145799999855,62
GET,/routes/shortest?fromName=Houston&toName=Nashville,194.95412499999887,86
GET,/cities,197.7227500000005,957
GET,/city/Atlanta,195.48716699999957,61
GET,/city/Atlanta,197.31770799999993,61
GET,/city/info/Buffalo,196.32312500000282,117
GET,/routes/shortest?fromName=Denver&toName=Phoenix,196.14645900000127,80
GET,/routes/shortest?fromName=Houston&toName=Nashville,184.56199999999967,86
GET,/routes/shortest?fromName=Chicago&toName=Seattle,184.3752909999985,122
GET,/city/Buffalo,210.52191699999767,62
GET,/city/Chicago,213.79633399999776,62
POST,/routes/heatmap,214.31795799999875,434
GET,/routes/most-used,221.23712499999826,2821
GET,/routes/shortest?fromName=Denver&toName=Phoenix,233.63662499999904,80
GET,/city/Los%20Angeles,241.76925000000082,66
GET,/routes/most-used?date=2025-11-01,244.81766699999952,2821
GET,/routes/shortest?fromName=Atlanta&toName=Kansas%20City,257.3591249999971,102
GET,/city/Atlanta,258.30537499999906,61
GET,/health,259.35483299999976,43
POST,/routes/heatmap,267.7047080000001,434
GET,/routes/random-points?count=1,266.23183300000267,8
GET,/health,266.8756249999973,43
GET,/cities,274.6580420000022,957
POST,/routes/heatmap,275.0911670000029,434
GET,/city/info/New%20York,280.027999999998,120
GET,/health,277.05604200000164,43
GET,/health,279.20495900000117,43
GET,/routes/most-used,291.37466599999937,2821
GET,/routes/random-points?count=1,285.5321249999996,8
POST,/routes/heatmap,287.44083400000164,434
GET,/health,292.6870420000007,43
GET,/city/info/New%20York,292.974375,120
GET,/routes/most-used,304.5275839999988,2821
POST,/routes/heatmap,304.2178749999991,434
GET,/cities,310.30787499999946,957
GET,/health,309.7052500000004,43
GET,/routes/most-used?date=2025-11-01,317.4920840000013,2821
POST,/routes/heatmap,320.5868340000002,434
GET,/health,327.02891599999975,43
POST,/routes/heatmap,331.61104099999864,434
GET,/city/Phoenix,326.1771660000008,63
GET,/cities,339.20929099999955,957
GET,/cities,335.7495829999983,957
POST,/routes/heatmap,345.71599999999944,434
GET,/routes/shortest?fromName=Boston&toName=Miami,351.30724999999785,107
GET,/routes/most-used?date=2025-11-01,362.2674170000017,2821
GET,/routes/shortest?fromName=New%20York&toName=Los%20Angeles,363.0384589999984,134
GET,/cities,367.25575000000174,957
GET,/city/info/Kansas%20City,362.3265000000018,122
GET,/routes/random-points?count=4,378.06766599999975,29
GET,/routes/most-used,379.3307080000012,2821
POST,/routes/heatmap,374.5860830000005,434
POST,/routes/heatmap,386.44624999999877,434
GET,/city/info/Chicago,383.78154199999767,119
GET,/routes/shortest?fromName=Chicago&toName=Seattle,391.7415409999983,122
GET,/city/Chicago,400.7383329999996,62
GET,/city/Los%20Angeles,396.74179200000026,66
GET,/routes/shortest?fromName=Atlanta&toName=Kansas%20City,425.47487499999903,102
GET,/routes/shortest?fromName=Phoenix&toName=Houston,427.97091699999964,82
POST,/routes/heatmap,422.98695799999916,434
GET,/routes/most-used?date=2025-11-01,430.4243750000012,2821
GET,/cities,429.63750000000186,957
GET,/routes/shortest?fromName=Boston&toName=Miami,449.425583,107
GET,/routes/shortest?fromName=New%20York&toName=Los%20Angeles,453.8525419999999,134
GET,/routes/shortest?fromName=Chicago&toName=Seattle,478.8569580000015,122
GET,/routes/shortest?fromName=Denver&toName=Phoenix,471.1505420000002,80
GET,/health,474.47279200000025,43
GET,/routes/most-used?date=2025-11-01,482.3453750000013,2821
GET,/city/Nashville,478.4068339999976,64
POST,/routes/heatmap,488.5935830000001,434
GET,/city/info/Los%20Angeles,487.0583340000003,124
GET,/health,491.87783300000024,43
GET,/routes/random-points?count=4,488.8170000000009,29
GET,/city/info/Denver,498.21608300000264,116
GET,/city/info/Atlanta,495.5443749999979,117
GET,/routes/random-points?count=1,498.823625,8
GET,/cities,506.0951249999981,957
POST,/routes/heatmap,502.50649999999905,434
GET,/city/info/Boston,515.593208000002,116
GET,/routes/random-points?count=3,522.5270420000002,22
GET,/routes/random-points?count=1,514.9779999999993,8
POST,/routes/heatmap,521.2021249999985,434
POST,/routes/heatmap,514.9255000000004,434
GET,/health,53.328249999999855,43
GET,/health,51.98241700000139,43
GET,/health,41.983166999997934,43
GET,/routes/random-points?count=1,61.013541000001226,8
GET,/routes/random-points?count=1,61.57345800000158,8
GET,/routes/random-points?count=2,47.5539999999981,15
GET,/cities,45.98691700000046,957
POST,/routes/heatmap,126.14191600000169,434
POST,/routes/heatmap,143.75275000000087,434
GET,/cities,140.15779100000003,957
POST,/routes/heatmap,125.63349999999929,434
GET,/city/Chicago,143.41625000000136,62
GET,/city/Los%20Angeles,143.12429199999954,66
GET,/routes/shortest?fromName=Phoenix&toName=Houston,142.4388750000034,82
GET,/routes/shortest?fromName=New%20York&toName=Los%20Angeles,141.1243750000004,134
GET,/cities,139.6800419999984,957
GET,/routes/shortest?fromName=Denver&toName=Phoenix,137.72383299999902,80
GET,/routes/most-used,128.0362499999974,2821
GET,/cities,139.71220899999892,957
GET,/health,135.67395899999823,43
GET,/routes/most-used,139.66416700000295,2821
GET,/routes/shortest?fromName=Denver&toName=Phoenix,139.4919580000007,80
GET,/routes/shortest?fromName=New%20York&toName=Los%20Angeles,148.09566600000323,134
GET,/routes/shortest?fromName=Boston&toName=Miami,159.6688749999977,107
GET,/cities,158.59583300000324,957
GET,/health,19.413249999999493,43
GET,/routes/random-points?count=5,161.23104100000063,36
GET,/city/Miami,164.23487500000178,59
GET,/health,169.16983300000155,43
GET,/cities,173.82062500000117,957
GET,/city/Portland,172.84829200000118,63
POST,/routes/heatmap,175.93291699999725,434
GET,/city/info/Boston,171.64054199999867,116
GET,/city/Chicago,179.18766699999722,62
GET,/routes/most-used,189.19712499999974,2821
POST,/routes/heatmap,194.1732079999987,434
GET,/routes/random-points?count=4,194.08995899999937,29
GET,/city/info/Portland,199.05062499999815,118
GET,/city/info/Phoenix,199.46237500000308,119
GET,/city/Salt%20Lake%20City,201.75316699999968,69
GET,/routes/most-used,209.6034170000003,2821
GET,/routes/random-points?count=2,210.92004199999792,15
POST,/routes/heatmap,221.39516700000073,434
GET,/routes/most-used?date=2025-11-01,221.8799159999989,2821
GET,/city/info/New%20York,222.05679200000006,120
POST,/routes/heatmap,228.28533399999884,434
GET,/health,227.724417000001,43
GET,/city/info/Buffalo,235.1352079999991,117
GET,/cities,237.30520899999874,957
GET,/health,235.04262500000195,43
GET,/health,238.69229199999964,43
GET,/cities,241.15141699999754,957
GET,/cities,238.72454199999993,957
POST,/routes/heatmap,248.01641599999869,434
GET,/health,249.75616600000095,43
GET,/health,256.06166700000085,43
GET,/city/Los%20Angeles,250.437625,66
GET,/city/Atlanta,267.36187499999886,61
GET,/routes/shortest?fromName=Atlanta&toName=Kansas%20City,263.52574999999945,102
POST,/routes/heatmap,275.5847080000002,434
GET,/health,272.3028339999978,43
GET,/routes/most-used?date=2025-11-01,293.47845899999925,2821
GET,/routes/shortest?fromName=Atlanta&toName=Kansas%20City,287.11854200000175,102
POST,/routes/heatmap,303.20195799999897,434
GET,/city/info/Boston,299.31354200000015,116
POST,/routes/heatmap,299.8978749999992,434
GET,/routes/random-points?count=3,300.47550000000103,22
GET,/routes/random-points?count=2,307.35791600000084,15
GET,/city/Phoenix,316.09962499999966,63
